property_size_sqft,bedrooms,bathrooms,floors,age_of_property,distance_to_city_center,school_rating,crime_rate_index,price
731,3,3,2,40,3.14,3,94.85,1229457
3849,2,4,1,27,17.3,1,94.95,1112983
3102,1,2,1,36,12.39,5,0.87,747128
4406,1,4,2,1,16.59,8,96.22,1783585
4268,6,2,2,45,7.55,1,87.05,748590
4600,5,4,1,16,16.92,6,60.6,1271226
601,6,2,2,30,11.81,1,32.45,593251
2897,1,4,1,44,26.68,8,42.08,87779
2242,7,3,2,12,9.53,5,84.82,836187
2266,2,1,1,44,26.19,3,14.77,1108928
2396,7,4,1,17,12.0,8,62.08,1500053
1309,7,2,1,23,17.56,10,23.09,586898
4705,1,3,2,30,8.95,8,37.82,1064045
3589,6,4,1,32,24.37,3,0.5,395623
1170,4,2,1,30,25.39,7,96.94,1422214
3555,7,1,1,26,24.37,1,10.86,1908735
2901,7,2,2,35,19.38,3,76.35,705181
3114,4,4,2,20,9.49,7,56.16,398848
3985,2,2,1,4,19.28,3,82.8,1155342
2028,5,2,2,10,28.81,7,51.57,521196
786,3,1,1,33,19.63,3,98.44,1176556
3821,1,4,1,33,28.71,3,60.7,807577
4408,6,4,2,47,9.49,2,61.64,209868
4493,5,1,1,2,25.46,5,92.08,1849913
4763,6,3,1,5,21.69,1,25.8,574392
2866,5,2,2,19,24.67,4,36.29,1767158
2682,1,2,1,3,21.47,4,66.5,838640
2256,3,2,1,36,14.67,10,14.11,1625495
2398,1,4,2,38,20.75,3,80.96,107868
1636,3,4,1,6,28.0,5,59.19,571577
4544,6,2,1,16,12.82,4,75.49,1122119
1550,2,4,1,37,28.58,8,99.03,1357903
4718,3,1,1,35,1.96,8,97.69,1308863
1831,5,1,2,33,0.92,10,44.76,1888474
2219,2,4,1,5,15.07,1,28.11,1071776
2724,6,2,1,38,25.53,8,63.43,1481311
1530,4,2,2,1,7.81,9,71.13,1459623
3058,2,2,2,17,20.96,4,29.47,1020144
3900,3,2,1,41,16.63,8,28.14,537097
774,2,4,2,26,9.08,9,21.5,1640000
2520,6,3,2,38,8.93,2,90.94,526969
4420,2,3,1,40,2.66,9,10.16,1087580
2421,6,2,1,18,16.32,6,24.64,866561
4105,4,2,2,31,13.78,9,62.44,1971305
3659,3,2,2,23,9.04,8,46.76,716171
3835,7,3,1,33,29.13,4,12.07,1857452
2289,5,1,1,24,24.65,7,28.95,879694
2223,2,3,2,23,15.99,3,40.81,1298139
1874,7,4,2,24,15.89,1,95.87,144594
2642,1,3,1,11,6.21,4,39.57,891361
3643,5,4,2,29,19.65,4,11.58,697861
3534,2,2,2,5,28.63,5,97.24,1618762
2470,5,4,2,29,27.0,4,43.4,1060791
759,7,2,1,32,3.0,9,13.97,1253377
2441,1,1,2,14,2.07,5,61.11,1771565
1541,5,2,2,28,28.86,5,80.86,1940918
2035,7,2,1,13,6.4,8,71.05,1042617
4400,5,1,2,24,16.74,7,31.15,1264690
2343,1,2,1,44,2.7,2,23.9,1107520
3761,1,2,1,4,25.38,1,88.29,199320
3380,1,2,1,1,3.98,1,19.39,1431485
406,4,3,1,46,19.49,1,75.68,92760
3667,6,4,2,15,2.17,10,2.3,974969
1991,6,2,1,38,5.12,6,41.96,1403398
3664,7,3,2,37,15.61,5,98.49,221304
3006,1,2,1,16,1.85,9,63.39,1799233
3619,7,4,2,30,6.27,6,31.07,1650575
3673,6,2,1,0,4.52,10,69.98,1844224
1313,5,4,2,5,1.7,10,35.33,840739
2411,1,3,1,30,29.14,5,93.88,571711
1842,2,3,1,5,13.78,7,23.49,1845920
3454,1,2,1,35,25.84,5,32.0,1178559
3946,1,1,1,7,11.07,1,68.87,1538203
4621,6,4,1,28,1.76,9,79.53,52433
3328,7,2,2,8,21.02,4,57.65,96622
2229,3,3,1,21,1.64,5,28.93,792350
975,5,2,1,9,16.81,4,57.31,1205895
1329,6,4,2,23,4.6,6,21.91,1210966
4159,7,2,2,39,20.29,9,5.74,473996
4099,7,4,1,1,26.83,1,91.97,820337
1863,5,3,1,19,28.7,4,48.11,67575
3675,7,1,1,16,16.07,10,48.03,187588
1454,2,1,2,32,16.21,3,74.48,281727
2300,4,3,2,13,1.63,3,56.0,218596
1857,3,3,1,31,23.21,8,45.43,263363
1799,2,2,1,36,28.71,8,79.46,1125532
3815,2,3,1,23,13.43,7,47.5,1449856
842,5,3,2,40,23.91,10,91.27,496322
4050,3,4,1,19,24.02,5,30.62,758969
1578,5,2,1,48,23.68,2,3.36,1115089
4858,4,4,1,5,22.88,5,14.92,1471127
1657,7,2,1,32,6.85,4,81.92,843107
4034,5,2,1,49,22.67,8,92.62,738274
2241,1,1,1,27,4.76,6,7.51,1366732
2709,5,1,1,10,21.52,1,90.87,424909
1310,7,3,2,35,0.6,5,94.37,577344
4740,1,2,2,19,27.61,8,75.43,1194477
4409,2,3,2,5,24.91,1,76.11,691811
2569,4,4,2,7,20.65,1,0.15,1900654
2572,7,3,2,18,3.29,3,22.27,1490753
523,6,4,1,14,24.84,1,21.46,1858272
3558,1,1,2,21,26.32,6,58.15,872486
1185,4,1,1,1,20.8,5,65.69,1139904
2816,5,4,2,27,29.29,5,90.17,420404
1196,6,4,1,35,3.24,3,48.8,269522
4572,5,4,2,35,21.41,2,50.1,857794
4554,7,3,2,43,15.98,1,5.43,1123621
2336,2,4,1,17,4.8,2,99.74,1294298
2556,7,2,2,11,19.92,10,94.56,1190482
4207,7,4,1,18,24.09,9,7.2,479996
1701,7,1,1,25,5.36,10,55.77,1190791
4563,5,4,2,24,23.91,5,34.78,1774135
3540,1,1,2,27,3.24,8,42.83,1291142
3636,2,1,2,14,17.95,3,65.17,1009386
2752,4,3,1,9,24.05,5,41.97,1063632
2332,2,4,2,38,4.81,7,49.56,354326
3121,4,1,1,33,17.36,2,27.31,438228
764,3,2,2,12,13.03,3,8.24,1622323
2790,1,4,2,15,18.41,3,75.52,636451
1346,1,4,1,39,13.01,9,37.84,753921
1777,4,1,2,30,7.9,1,88.66,73811
1839,5,3,2,0,7.99,9,94.5,591005
3580,6,3,1,48,26.01,1,8.83,1148729
740,5,4,2,46,5.12,10,68.44,556002
3389,3,4,1,22,4.13,7,82.01,566376
782,4,3,2,13,3.36,4,64.7,299488
1956,3,3,2,38,2.69,10,32.87,1856823
699,4,2,2,29,0.93,8,28.45,1835760
538,3,4,2,41,5.23,1,46.23,60427
758,4,4,1,19,6.19,1,25.9,1233648
1922,1,4,1,24,8.46,6,89.57,1035197
3856,3,3,2,10,4.16,5,4.9,1795819
2027,3,1,1,25,3.28,5,11.27,583904
1703,4,2,2,20,16.47,2,60.65,1255935
1534,2,3,1,4,21.7,2,65.83,961988
2586,2,3,2,6,19.09,4,73.6,1624878
3570,1,2,1,11,16.92,2,27.56,1626331
4235,5,4,1,1,13.5,4,29.44,362537
2551,5,1,1,38,19.2,5,41.37,59970
1637,1,2,1,20,27.11,4,23.45,1323346
4135,5,1,2,31,19.01,6,37.72,1422865
3234,6,4,1,4,2.3,3,69.69,1535647
4660,6,1,1,26,17.33,2,49.86,1773571
1398,6,4,1,30,15.96,1,96.66,623131
2967,7,3,1,11,13.83,5,57.96,67724
1707,7,4,1,35,17.28,4,32.86,788430
1056,6,2,1,20,20.34,9,18.18,1882053
3060,4,2,1,18,1.6,10,21.99,909277
2611,2,4,2,2,14.67,1,1.61,687768
2309,1,4,2,16,24.61,9,44.21,896460
4130,4,3,2,29,16.16,8,96.0,1275805
2446,6,3,1,35,2.5,10,77.73,428946
3562,1,4,1,8,23.36,4,30.07,94273
1540,2,1,2,33,28.27,2,79.88,877908
666,5,3,2,28,25.63,3,93.18,540302
2245,4,2,2,9,11.2,10,67.27,1772426
2108,2,3,1,8,16.28,9,51.18,1828489
4030,1,3,2,39,17.94,10,13.59,1543172
3611,3,3,2,49,21.62,2,7.97,550424
2693,4,3,1,10,20.15,8,21.89,273867
4132,7,4,2,18,6.37,10,66.33,1921565
4229,1,3,2,21,25.37,1,15.47,124283
1910,1,1,1,49,25.55,4,53.32,140726
875,7,3,1,48,12.43,3,43.66,1815999
1376,2,3,2,21,4.36,10,62.85,1217728
1607,1,2,2,48,18.45,2,5.21,841623
2360,4,3,2,46,11.04,3,98.02,986905
957,6,2,2,15,22.37,3,68.99,1042154
1282,7,2,1,16,9.81,9,72.17,1617245
2594,4,4,1,39,8.26,3,1.62,113594
3067,7,2,1,6,26.1,9,7.95,1893462
2010,1,2,1,30,18.67,4,68.78,1185732
3888,2,1,1,3,3.04,1,10.96,185108
2854,4,1,1,28,20.84,8,89.54,1118351
4894,3,2,2,6,22.71,10,62.15,937137
2346,6,4,2,42,7.44,5,7.11,927343
3208,7,1,2,29,29.05,2,61.36,1281263
4225,5,1,1,2,11.5,9,80.27,67629
3936,2,4,2,24,28.25,7,80.09,1877218
4202,2,3,1,33,9.16,6,40.11,1989787
4577,5,1,1,32,18.47,2,46.01,390789
2370,5,2,1,30,15.77,6,73.61,1504352
4222,4,2,1,23,29.77,7,87.41,1085056
3219,1,2,1,37,12.55,5,79.36,919130
1302,1,4,2,45,5.79,5,59.61,1076650
764,3,2,1,3,25.08,4,72.49,519016
4658,6,3,2,47,1.74,10,65.23,1032013
3519,7,4,1,9,26.61,1,57.72,1378556
2958,1,1,2,24,3.76,10,91.97,1410676
2263,3,4,2,36,17.37,7,64.79,244043
515,3,2,2,42,21.55,3,38.2,1220186
2784,2,4,2,0,10.42,5,97.44,1078139
4335,2,4,2,16,25.42,8,94.97,1444915
2890,6,4,1,45,18.01,2,78.05,1538727
1342,4,4,2,6,12.16,4,3.28,1255743
2124,5,3,1,13,10.1,9,72.86,1211572
2734,5,4,2,0,3.8,2,2.99,122873
3167,6,2,1,5,19.39,8,7.36,510626
1537,3,1,1,38,11.24,9,35.25,177770
2927,6,3,1,42,9.96,3,31.62,1335674
4517,5,4,2,9,28.52,5,56.38,524867
3820,3,1,1,20,8.55,4,24.39,1688977
4306,5,3,2,2,26.36,10,19.92,1574433
4037,4,2,1,18,29.26,10,66.66,1599344
3353,2,2,2,27,24.77,8,44.34,1370961
2767,2,1,1,1,1.08,8,5.3,1763268
4621,3,4,2,26,26.12,5,44.24,1467437
676,6,1,1,43,6.8,5,75.87,1816025
2399,5,3,1,31,10.92,1,6.67,580976
1627,1,1,1,11,29.75,5,91.58,1491860
4152,4,1,2,0,12.45,1,47.65,705469
4135,5,4,1,45,19.82,4,51.2,870840
1095,7,2,1,42,9.67,7,29.94,644658
1709,1,4,1,39,11.4,2,64.7,394599
4552,4,2,1,28,18.13,1,2.15,1672481
3634,4,4,2,8,28.47,2,73.85,799003
4514,2,2,2,17,8.83,7,9.92,180994
2711,3,4,2,44,7.8,3,44.46,1060247
3241,5,2,1,35,1.28,5,14.71,956304
4608,4,2,2,15,6.46,1,16.95,126313
3959,5,2,1,34,8.24,10,46.45,1303968
3798,4,2,1,35,2.35,10,6.53,1909260
941,6,4,1,3,17.13,10,14.99,970540
3094,2,3,2,39,4.24,8,54.36,296995
1488,3,2,1,42,15.58,4,69.61,1302583
3763,1,2,2,34,6.07,10,35.94,81278
424,1,2,1,18,28.1,2,86.59,912322
1972,6,2,2,5,9.56,8,16.09,423083
3358,7,2,2,30,3.24,10,56.06,1552122
4636,2,1,2,26,25.17,5,8.93,1567549
2167,4,1,1,2,12.36,2,16.75,886619
2635,2,2,2,35,24.69,9,90.88,1973341
600,3,2,2,35,9.72,6,99.28,266836
3598,1,2,1,1,15.25,8,99.75,416679
656,5,3,2,47,13.64,2,80.04,1100718
4147,1,4,2,36,16.96,5,19.96,764869
2641,7,2,2,14,12.35,3,28.61,1492847
3575,7,3,1,36,15.16,8,8.9,1881248
4006,7,3,2,22,20.54,1,5.4,1550120
3736,7,2,2,43,12.73,9,73.26,737367
813,3,4,2,46,20.69,6,54.04,486208
2414,4,1,1,5,21.57,1,66.06,1552828
1781,2,2,2,32,22.59,3,58.01,685242
1498,1,2,2,4,14.39,8,1.18,1417189
3826,7,1,1,20,0.61,8,31.98,785554
4055,1,4,2,27,22.73,3,69.12,510522
1309,7,1,2,20,27.32,10,86.12,1916206
587,5,2,2,23,19.75,8,15.44,381054
4444,2,2,1,27,15.97,6,11.8,540533
4156,5,3,2,10,17.01,7,95.89,1276528
2415,5,1,1,21,19.4,2,96.72,1141051
2492,7,3,2,45,29.96,1,75.0,864924
4044,4,3,2,45,2.33,1,5.92,1563520
2530,1,3,1,33,1.12,3,63.02,1254796
757,6,3,2,36,28.94,7,12.84,544335
2822,2,1,2,40,13.49,9,84.54,1149488
4657,4,1,1,16,18.56,2,30.32,1538561
4945,6,1,1,14,22.73,6,47.51,684929
1897,4,2,1,28,22.39,8,18.68,1038985
2558,7,4,2,33,19.59,9,72.51,355884
2955,7,3,1,40,14.42,10,50.22,1265689
2742,4,2,2,42,17.49,3,70.58,953242
3351,3,1,1,21,22.02,5,31.97,338431
1638,3,1,1,26,25.6,5,37.68,161745
1373,4,2,1,37,4.26,8,89.65,500764
4365,3,3,2,14,8.7,1,25.43,408862
1450,2,1,2,20,12.23,3,90.3,696189
4101,1,3,2,3,20.13,6,7.58,1128313
3180,6,3,1,46,12.17,6,15.89,192193
1988,7,4,2,17,7.55,4,66.32,1588824
4278,2,1,2,6,1.48,5,99.42,1761795
2768,1,2,1,15,25.35,10,93.38,1902395
836,3,4,2,34,12.86,3,50.84,489826
3228,6,3,1,11,10.21,4,52.78,1216627
1956,2,2,1,6,16.16,10,57.34,1309685
4258,5,4,2,40,4.13,10,79.23,985879
1704,7,4,1,9,12.22,1,55.08,1327531
2784,4,4,2,0,22.68,6,11.78,1128973
582,7,3,1,11,22.22,5,83.83,907465
1989,1,3,2,26,23.27,5,88.53,1215731
1987,1,1,2,27,14.29,4,91.8,844321
1059,5,4,2,17,11.38,9,42.06,589745
559,5,2,1,0,25.03,9,22.13,886591
4353,4,3,2,49,5.61,5,11.94,201101
1411,3,4,1,22,21.89,7,52.46,592899
452,7,2,2,38,26.69,3,27.74,1324705
2707,2,3,2,16,8.94,1,42.73,1969483
1628,2,2,1,44,6.33,1,9.9,362760
1435,2,2,2,41,15.62,3,19.92,1353952
4102,3,1,2,45,6.88,3,43.84,1240126
4445,7,3,1,0,26.19,5,17.86,1807755
4849,7,3,2,37,7.71,8,22.52,678551
1664,4,3,2,3,9.76,6,1.99,1772642
2284,2,3,1,14,26.71,8,7.31,1839473
2209,1,1,2,20,6.57,7,11.64,742529
3567,1,1,2,20,26.6,1,65.66,937275
4197,1,4,1,21,6.69,10,15.0,389770
2741,5,3,1,43,27.4,8,88.06,453926
3814,5,2,2,13,9.87,1,78.54,793798
1217,3,1,1,34,7.76,5,81.73,430697
2837,2,2,2,3,14.58,3,35.21,916980
1288,5,2,1,34,11.39,7,5.77,744727
1067,1,2,2,31,6.45,5,7.65,1063950
3024,5,4,1,27,10.48,2,68.97,285387
4632,7,4,2,11,21.54,1,92.31,1707402
4923,1,3,2,29,25.04,10,17.53,575802
1218,2,1,2,8,24.71,6,86.43,565371
2588,7,3,1,18,22.83,6,65.3,421529
1506,3,4,1,15,0.66,8,67.67,938834
2624,4,4,2,29,13.08,9,69.76,1142822
597,4,2,1,0,5.48,2,6.22,1657512
3071,7,3,1,45,2.67,5,60.38,1987149
3892,1,2,1,44,22.21,5,48.33,725936
2848,5,4,1,22,23.91,10,83.66,1514421
870,5,3,1,11,24.53,8,42.81,1121879
2348,1,3,1,4,26.76,9,50.95,1789327
4299,2,1,2,19,17.91,5,58.05,1283814
2410,7,4,2,2,29.94,5,58.67,1314167
4200,1,4,1,1,14.77,3,40.0,878569
4518,2,1,1,42,26.56,6,16.62,419972
4196,3,4,1,19,3.83,7,25.14,1230350
4388,3,2,2,1,4.89,3,41.24,1245122
634,7,2,2,47,17.92,2,61.97,892182
1328,1,2,1,39,4.16,2,45.45,189506
4007,3,3,2,34,2.72,9,79.16,310822
922,5,2,2,3,6.28,6,57.51,686964
3923,2,4,2,35,23.73,2,34.27,1208461
4926,4,1,2,39,27.86,5,49.71,1906641
2029,4,2,2,5,10.34,7,35.93,164627
1716,3,2,2,13,29.26,1,3.03,352761
3257,2,3,1,14,24.38,8,28.11,1655248
1524,5,4,2,48,7.17,6,45.09,1452069
2987,4,1,1,36,17.79,1,25.53,1308704
1423,5,4,1,32,29.46,8,71.96,90636
1778,5,2,2,43,25.54,5,86.21,1512276
3774,4,4,2,18,11.22,7,29.69,188454
1919,4,1,1,11,9.54,10,2.42,1523113
626,3,2,2,42,24.67,4,87.55,393076
1291,7,4,1,8,16.7,2,57.74,76436
4472,2,1,1,18,5.32,8,0.58,306237
2657,1,2,2,31,10.17,4,49.99,70659
3188,2,2,2,27,20.02,8,9.68,1773016
796,1,4,2,27,5.02,9,67.39,1279325
2478,4,3,1,30,21.11,4,53.38,1952687
4824,5,3,1,35,21.44,8,91.32,847106
3637,2,1,2,12,8.49,4,39.51,907065
4293,5,4,2,41,12.24,8,92.36,1680191
2405,2,1,2,32,28.1,1,83.65,1470993
2416,7,4,2,41,22.6,2,75.24,1678092
3571,6,1,1,17,23.74,10,43.8,1527699
3068,2,1,2,28,15.73,3,41.43,1835282
2278,5,4,1,44,6.79,2,39.47,968507
1596,6,3,2,38,17.94,10,5.17,1579385
2172,3,1,1,7,23.28,8,60.6,363252
561,7,4,1,48,0.61,10,79.79,932544
4376,4,4,1,21,3.86,9,74.41,204582
2151,3,4,2,0,14.49,9,58.28,798603
1175,3,2,2,47,13.4,1,35.72,1090346
1339,2,4,2,30,29.48,9,69.48,1707798
3620,4,4,1,19,3.22,8,52.89,65745
939,7,2,2,35,10.05,8,83.97,1402067
1861,6,2,2,22,24.55,3,27.34,1862090
755,2,3,2,16,18.57,8,10.21,1754393
4004,1,4,1,44,17.07,2,0.32,413863
3723,2,1,2,9,22.37,2,74.3,1264899
634,6,2,1,8,1.68,4,59.93,1992524
1948,5,2,1,45,28.45,7,5.99,806251
2496,7,3,2,16,6.14,4,83.99,1431071
4613,7,3,2,2,2.91,2,47.72,1518044
2501,2,3,1,32,10.5,5,46.13,681347
2073,1,4,2,0,21.22,8,68.46,889826
2500,2,4,1,19,7.33,7,63.47,1380578
4057,6,4,1,1,1.97,7,23.87,1796987
3996,7,2,1,15,2.19,9,64.47,480745
4148,1,3,2,8,8.07,5,85.82,1244388
3573,4,2,1,13,4.49,4,39.18,1631038
2215,6,1,1,0,11.49,10,28.98,153509
4241,7,4,2,34,5.61,9,6.01,128759
2405,2,2,1,17,10.66,1,60.51,96350
4893,7,1,1,0,13.61,6,75.54,549783
1074,1,2,2,42,22.4,3,96.76,909766
786,6,1,1,4,7.21,6,61.2,424280
2558,4,2,2,10,14.51,7,44.79,1731719
3061,5,2,2,37,24.55,1,93.52,991413
2464,3,4,1,23,29.6,6,17.88,1896381
4251,1,2,2,38,16.94,8,70.84,1510537
3653,5,2,1,44,13.25,5,32.73,1330178
4666,4,3,2,31,19.13,5,86.15,296470
1139,5,2,1,15,14.85,7,74.52,983122
1801,2,4,2,2,5.36,8,33.36,246460
3659,3,2,1,46,14.05,7,77.48,1339392
2677,1,4,1,7,29.38,3,89.04,1155200
4304,6,3,2,31,19.39,6,25.23,782551
4323,7,4,1,21,8.86,9,57.17,1097318
4614,4,3,1,47,28.44,2,41.96,1753342
3627,3,3,2,16,11.96,9,92.59,1072869
3231,4,3,2,26,12.01,3,97.23,621964
4158,7,3,2,44,18.69,3,10.38,1050696
2912,5,3,1,2,17.28,10,54.88,1179427
2551,4,4,1,25,9.07,2,53.09,1817810
4075,4,3,1,34,14.28,3,86.87,778917
3145,5,3,2,12,10.31,7,77.91,67151
4266,5,3,1,16,22.26,3,28.71,679296
4164,7,3,1,29,4.11,1,52.2,1462219
2622,3,3,1,28,22.63,4,37.82,1993087
3192,1,1,2,13,5.25,7,35.32,1030133
2097,5,2,2,29,9.53,6,73.1,1453109
3862,3,2,1,36,10.33,10,59.94,1447435
4463,7,3,2,43,29.72,3,19.89,1854882
1924,4,3,2,47,17.9,1,62.07,233478
432,4,1,1,37,23.44,8,46.37,1715820
4425,6,3,2,8,16.88,2,34.1,821664
2966,2,1,2,47,29.5,5,6.65,1816539
3203,5,2,2,31,5.73,3,92.87,158363
4296,7,4,1,3,18.34,4,86.17,1897501
4109,3,2,2,5,24.02,3,30.35,1490879
1119,6,4,2,0,19.04,3,55.63,1612217
4979,3,4,1,24,26.96,3,86.47,624573
1372,1,4,1,39,18.22,10,51.94,138849
4118,6,3,1,37,24.88,8,14.18,1089958
4802,7,1,1,2,5.69,1,47.47,1900475
4952,3,4,1,20,8.23,2,31.4,876974
2607,5,1,2,13,13.6,2,45.78,1196060
4826,3,2,1,29,25.62,9,84.8,1136912
4720,2,4,2,1,13.08,7,40.88,1542533
3430,4,2,1,47,19.01,10,79.94,861602
3975,4,1,2,21,12.18,7,23.26,1159816
3516,6,1,1,12,24.27,8,59.37,1513100
3685,3,2,2,24,6.41,2,42.61,1177385
1043,3,1,1,47,18.02,10,97.31,215335
594,3,2,2,42,17.55,1,0.08,1064455
4396,3,1,2,10,12.4,6,36.37,1362067
888,2,3,1,47,21.3,3,81.34,1587692
2604,5,2,2,9,1.34,2,39.15,74801
3057,2,4,2,48,25.32,3,21.75,1790153
3676,7,4,1,43,10.76,4,85.33,326599
1502,7,4,2,36,23.89,5,59.17,245000
1641,2,1,2,24,9.5,10,55.67,850207
915,2,2,1,43,6.04,10,40.08,1315732
792,4,1,2,34,11.99,4,15.76,1738719
1030,7,4,1,18,24.02,8,57.56,1105704
4116,2,3,2,27,21.25,6,50.53,1537547
2247,3,4,2,41,12.33,7,40.21,168430
3055,2,4,2,47,28.17,4,7.69,1111076
1379,3,4,2,42,12.56,7,65.1,793678
4929,6,3,1,47,10.85,5,63.17,328724
3802,7,3,1,9,4.77,2,55.91,1396637
4271,5,2,2,14,2.57,9,13.15,1127277
677,4,3,2,31,10.82,2,30.28,1711273
632,5,2,1,2,3.21,2,46.99,313959
1952,6,3,1,23,14.15,3,73.45,1166387
3670,5,2,1,9,25.87,4,22.29,777522
2809,4,4,2,43,14.55,7,80.09,945986
3912,3,3,2,29,14.68,5,31.92,132708
425,6,1,2,40,7.98,7,66.57,1699540
860,6,1,1,32,5.41,1,93.69,1149995
4164,3,2,2,44,7.06,4,71.42,1769121
3831,3,3,1,24,17.26,2,6.93,483230
3883,4,3,1,38,17.96,6,37.64,1192717
2394,7,1,2,38,7.0,2,57.82,1486962
890,2,3,1,24,12.27,4,67.33,817552
1472,7,3,2,37,17.28,5,34.48,985032
3573,1,2,1,11,22.93,8,42.87,58310
615,2,4,2,3,9.93,5,37.6,1158894
2123,7,1,2,27,8.51,2,69.8,112887
1992,2,4,1,19,22.05,10,91.36,1227771
3006,5,3,1,9,15.66,8,77.82,1715613
558,1,3,2,30,25.77,8,26.32,1878555
3713,3,2,2,18,6.72,10,54.01,1118548
3241,2,4,1,1,23.24,1,47.81,515865
2176,7,4,2,3,5.28,9,1.55,1123765
2452,4,2,2,14,17.75,8,93.84,333600
2695,2,4,1,37,8.87,1,46.6,1886720
2096,3,2,1,32,3.48,9,94.32,568505
3393,7,2,1,17,18.69,9,66.42,877740
2869,2,3,2,39,15.45,8,70.82,1155839
2346,6,3,2,31,14.84,10,42.7,1459940
4209,5,3,1,31,17.98,7,85.8,713982
3183,5,2,1,12,11.49,6,18.54,844613
4044,2,3,1,15,20.27,5,95.92,1771196
2900,5,1,2,32,4.36,6,61.63,1537233
4045,4,1,2,33,21.59,1,33.23,1671309
3045,1,3,2,13,17.6,1,73.94,657246
2749,2,2,1,46,14.85,9,74.52,1729061
2332,4,1,1,1,4.27,6,77.46,1186075
3694,6,3,2,12,8.71,3,29.35,1865769
2157,4,1,1,28,9.21,9,2.57,277768
1516,4,1,1,42,7.4,3,88.92,1732244
2967,6,1,1,41,28.65,9,79.75,766508
3899,3,4,2,33,27.51,5,40.19,831824
892,2,1,1,16,16.61,1,16.62,1398831
3706,2,3,1,2,6.57,5,46.88,829914
1019,2,1,1,29,27.38,10,30.58,813681
3632,1,3,1,3,22.61,2,19.41,295776
4223,4,1,2,30,1.64,2,48.62,1757226
2780,2,1,2,4,14.98,1,82.97,748559
1946,5,4,2,1,18.35,10,58.17,604426
3963,3,1,2,3,2.46,4,48.74,955085
2005,6,3,1,43,1.97,4,99.41,1219358
4152,6,4,2,37,14.17,5,76.03,398108
2290,1,4,1,26,0.56,4,13.19,568797
1675,7,1,1,26,1.88,2,41.69,1188345
3143,6,1,1,14,5.37,5,46.5,198597
2893,3,2,1,38,27.34,8,61.06,970938
756,7,1,2,37,23.11,6,68.18,721531
1269,4,2,2,13,13.79,5,32.55,1560772
1285,6,3,1,17,14.64,7,36.74,288993
2401,7,1,2,28,20.74,1,10.35,1221936
1683,7,1,2,6,14.49,6,8.93,1166452
1019,6,2,1,37,2.39,2,75.8,892805
1282,5,2,2,23,22.29,5,92.61,1993196
1196,4,4,1,37,2.2,10,19.68,793838
4042,2,4,1,5,14.84,4,92.31,486305
3825,3,1,1,19,25.92,7,34.37,411523
1696,6,3,2,41,3.96,9,88.08,1096330
644,5,4,1,35,21.35,9,2.6,1160713
3295,3,4,1,9,1.87,10,9.06,354457
1329,7,4,1,21,29.8,1,43.47,338223
919,1,2,2,32,20.62,7,84.8,1394144
3612,5,1,1,22,29.09,7,44.92,636624
2809,7,2,1,45,20.21,5,83.95,642196
407,1,3,1,49,7.65,8,34.08,1577545
2925,6,2,1,40,27.83,10,13.25,1823250
3823,5,1,2,41,18.99,4,92.55,918572
2419,2,2,1,3,17.49,1,7.65,1291978
4990,7,3,2,20,13.16,4,70.71,821244
4682,3,1,1,12,8.9,2,88.3,694709
4067,3,1,2,41,16.14,3,12.0,773101
4071,7,1,1,12,11.3,4,51.91,572472
3201,7,1,2,11,25.69,7,5.28,1895831
485,4,3,2,23,1.35,9,45.89,1884865
3515,5,1,1,34,16.14,4,78.74,352434
4632,5,3,1,18,25.18,2,30.4,1721298
2868,7,3,1,8,1.31,10,23.33,1675928
4019,1,2,2,12,8.83,10,25.17,831376
2036,5,2,2,21,2.02,4,79.13,1285552
3983,3,1,2,39,18.05,8,97.37,982611
4409,5,4,2,35,9.84,2,22.83,1170861
3726,4,4,1,27,28.81,8,6.87,956846
2618,4,1,2,40,18.68,5,12.59,657630
2617,7,3,1,6,17.07,2,62.82,67733
2769,3,2,2,29,27.56,8,67.61,1318969
4038,3,1,1,30,7.1,2,44.93,582514
2903,3,1,2,10,17.09,4,7.93,155697
1343,5,3,2,29,16.51,2,92.81,1201514
3237,5,2,1,14,2.92,6,93.0,1991481
3060,2,4,2,12,28.0,3,39.36,1816220
3336,6,4,2,34,21.16,7,82.1,695800
4844,7,1,2,34,26.7,6,89.86,940517
4347,6,1,1,19,29.48,1,50.8,416759
2076,1,1,2,42,14.65,9,60.15,1562316
1596,5,1,1,22,24.21,7,73.31,858284
4505,2,1,2,36,17.54,1,89.13,444041
3187,2,4,2,19,29.33,4,8.91,1748852
1861,4,1,1,18,7.79,4,5.3,1844489
3718,5,2,1,43,0.91,6,67.5,735482
1066,2,3,1,17,5.99,3,4.77,1529084
2576,4,4,2,3,4.28,2,10.44,689115
4143,1,3,1,7,13.39,3,42.24,1487544
1000,4,3,2,45,2.78,4,18.22,987668
3052,1,1,2,29,7.0,8,89.88,1837588
4822,6,3,1,47,3.34,8,33.16,1158026
4224,6,2,2,19,14.86,1,57.75,1186433
4306,3,1,2,7,8.37,9,0.98,671465
1379,3,4,2,4,14.39,4,51.34,1587369
2851,7,2,2,40,3.12,4,81.0,827609
1028,4,4,1,33,15.75,4,96.84,143616
2029,7,1,2,39,4.34,7,67.87,1109074
4096,3,1,2,6,3.43,2,20.26,1994952
3830,5,4,1,49,9.65,7,36.3,1186703
4074,4,3,1,21,26.3,10,15.69,621206
